0,1,2,3
,,,
,Sr. No.,Flat Number,Outstanding
,1,C1-101,-100000
,2,C1-104,0
,3,C1-201,-9558
,4,C1-202,-100000
,5,C1-203,86.22
,6,C1-204,0
,7,C1-301,0
,8,C1-302,21978
,9,C1-303,0
,10,C1-304,-2400
,11,C1-401,0
,12,C1-402,195.87
,13,C1-403,41.99
,14,C1-404,41.27
,15,C1-501,2238.5
,16,C1-502,14652
,17,C1-503,6833.02125
,18,C1-504,0
,19,C1-601,-48800
,20,C1-602,0
,21,C1-603,31948.82
,22,C1-604,13400
,23,C1-701,12338.21
,24,C1-702,-1672.23
,25,C1-703,0
,26,C1-704,2512.72
,27,C1-801,90.04
,28,C1-802,6715.5
